year,quarter,city,Index,avg_price_sqm,med_price_sqm,p75_price_sqm,p25_price_sqm,date
2012,1,Rhein-Erft-Kreis,94.58109283447266,7.05,6.98,8.0,6.0,2012-01-01
2012,1,Stuttgart,90.17809295654297,9.61,9.42,10.71,8.27,2012-01-01
2012,1,Wiesbaden,92.92469787597656,8.57,8.43,9.290000000000001,7.62,2012-01-01
2012,1,Wuppertal,96.92448425292969,5.6000000000000005,5.48,6.0600000000000005,5.0,2012-01-01
2012,1,Aachen,90.34149932861328,7.26,7.0,8.43,6.0,2012-01-01
2012,1,Augsburg,84.54425811767578,7.0600000000000005,7.0,7.8100000000000005,6.36,2012-01-01
2012,1,Berlin,83.68882751464844,7.18,6.86,8.14,5.9,2012-01-01
2012,1,Bielefeld,91.37026977539062,5.83,5.66,6.41,5.11,2012-01-01
2012,1,Bocholt,93.55944061279297,6.12,5.8100000000000005,7.03,5.2700000000000005,2012-01-01
2012,1,Bochum,94.91061401367188,5.73,5.5600000000000005,6.22,5.1000000000000005,2012-01-01
2012,1,Bonn,92.82840728759766,8.290000000000001,8.13,9.17,7.23,2012-01-01
2012,1,Braunschweig,82.84127807617188,6.01,5.76,6.68,5.25,2012-01-01
2012,1,Bremen,90.74764251708984,6.79,6.62,7.72,5.5200000000000005,2012-01-01
2012,1,Chemnitz,94.86979675292969,4.8100000000000005,4.83,5.25,4.37,2012-01-01
2012,1,Dortmund,91.36640167236328,5.63,5.43,6.22,4.9,2012-01-01
2012,1,Dresden,87.87200164794922,6.13,6.0200000000000005,6.7,5.5,2012-01-01
2012,1,Duisburg,94.82955169677734,5.2,5.0600000000000005,5.63,4.61,2012-01-01
2012,1,Düsseldorf,93.07221221923828,8.71,8.370000000000001,9.64,7.5,2012-01-01
2012,1,Erfurt,91.21815490722656,6.12,6.0,6.74,5.29,2012-01-01
2012,1,Essen,93.92692565917969,5.91,5.7,6.51,5.13,2012-01-01
2012,1,Frankfurt am Main,91.75794982910156,10.82,10.48,12.27,9.0,2012-01-01
2012,1,Greix,89.8878402709961,8.68,8.44,10.06,7.03,2012-01-01
2012,1,Gelsenkirchen,94.0986328125,4.7700000000000005,4.71,5.1000000000000005,4.41,2012-01-01
2012,1,Hamburg,94.80931091308594,9.950000000000001,9.59,11.53,8.120000000000001,2012-01-01
2012,1,Hamm,93.51919555664062,5.19,5.0,5.75,4.55,2012-01-01
2012,1,Hannover,86.52885437011719,6.5600000000000005,6.4,7.12,5.82,2012-01-01
2012,1,Karlsruhe,91.67577362060547,8.23,8.01,9.22,7.17,2012-01-01
2012,1,Kiel,90.31805419921875,6.44,6.3,7.2,5.39,2012-01-01
2012,1,Köln,90.8470230102539,8.93,8.75,10.01,7.51,2012-01-01
2012,1,Leipzig,87.49871063232422,5.2,5.0600000000000005,5.78,4.51,2012-01-01
2012,1,Lübeck,90.46378326416016,6.51,6.36,7.29,5.51,2012-01-01
2012,1,Mönchengladbach,95.10826873779297,5.63,5.5,6.0600000000000005,5.1000000000000005,2012-01-01
2012,1,Mannheim,89.2657241821289,7.4,7.2,8.07,6.4,2012-01-01
2012,1,Kreis Mettmann,94.5373764038086,6.8500000000000005,6.8100000000000005,7.63,6.0,2012-01-01
2012,1,München,86.5006103515625,12.69,12.44,13.98,11.13,2012-01-01
2012,1,Münster,92.58106994628906,8.24,8.040000000000001,9.370000000000001,6.88,2012-01-01
2012,1,Nürnberg,88.31787872314453,7.390000000000001,7.25,8.15,6.5,2012-01-01
2012,1,Potsdam,91.9522476196289,7.78,8.0,8.84,6.7,2012-01-01
2012,1,Rhein-Erft-Kreis,93.84024810791016,7.04,6.99,7.91,6.1000000000000005,2012-01-01
2012,1,Stuttgart,89.21065521240234,9.48,9.24,10.540000000000001,8.21,2012-01-01
2012,1,Wiesbaden,92.153076171875,8.540000000000001,8.370000000000001,9.34,7.57,2012-01-01
2012,1,Wuppertal,96.53977966308594,5.59,5.5,6.07,5.0,2012-01-01
2012,2,Aachen,90.61466217041016,7.4,7.2700000000000005,8.44,6.28,2012-04-01
2012,2,Augsburg,84.11009979248047,7.19,7.16,8.0,6.41,2012-04-01
2012,2,Berlin,84.98342895507812,7.37,7.01,8.48,6.0,2012-04-01
2012,2,Bielefeld,92.64146423339844,5.93,5.8,6.58,5.07,2012-04-01
2012,2,Bocholt,90.28610229492188,5.84,5.59,6.45,5.25,2012-04-01
2012,2,Bochum,94.932373046875,5.69,5.58,6.23,5.0,2012-04-01
2012,2,Bonn,92.77398681640625,8.32,8.11,9.34,7.23,2012-04-01
2012,2,Braunschweig,83.64680480957031,6.0200000000000005,5.86,6.38,5.3100000000000005,2012-04-01
2012,2,Bremen,91.68785858154297,6.66,6.3500000000000005,7.7,5.46,2012-04-01
2012,2,Chemnitz,95.95531463623047,4.87,4.96,5.3100000000000005,4.44,2012-04-01
2012,2,Dortmund,91.60942077636719,5.63,5.46,6.18,4.8500000000000005,2012-04-01
2012,2,Dresden,88.35222625732422,6.15,6.0200000000000005,6.7,5.57,2012-04-01
2012,2,Duisburg,94.38603210449219,5.23,5.08,5.67,4.64,2012-04-01
2012,2,Düsseldorf,94.19223022460938,8.89,8.57,9.82,7.55,2012-04-01
2012,2,Erfurt,91.63785552978516,6.23,6.140000000000001,6.8100000000000005,5.49,2012-04-01
2012,2,Essen,95.00953674316406,6.01,5.82,6.65,5.2,2012-04-01
2012,2,Frankfurt am Main,93.83511352539062,11.17,10.89,12.73,9.14,2012-04-01
2012,2,Greix,90.99347686767578,8.77,8.540000000000001,10.19,7.15,2012-04-01
2012,2,Gelsenkirchen,95.2489242553711,4.87,4.79,5.18,4.43,2012-04-01
2012,2,Hamburg,97.18421173095703,10.28,10.0,11.91,8.5,2012-04-01
2012,2,Hamm,92.3084487915039,5.16,5.0,5.73,4.62,2012-04-01
2012,2,Hannover,88.04876708984375,6.7,6.5,7.38,5.8500000000000005,2012-04-01
2012,2,Karlsruhe,91.93233489990234,8.32,8.22,9.05,7.38,2012-04-01
2012,2,Kiel,92.22481536865234,6.59,6.5200000000000005,7.32,5.39,2012-04-01
2012,2,Köln,92.26412200927734,9.040000000000001,8.83,10.3,7.53,2012-04-01
2012,2,Leipzig,88.5082778930664,5.2700000000000005,5.15,5.86,4.55,2012-04-01
2012,2,Lübeck,91.75448608398438,6.7,6.5,7.5,5.7,2012-04-01
2012,2,Mönchengladbach,95.56395721435547,5.68,5.5,6.13,5.12,2012-04-01
2012,2,Mannheim,89.55767822265625,7.61,7.46,8.57,6.53,2012-04-01
2012,2,Kreis Mettmann,95.72683715820312,6.96,6.88,7.78,6.140000000000001,2012-04-01
2012,2,München,88.13618469238281,12.88,12.5,14.1,11.25,2012-04-01
2012,2,Münster,93.0020980834961,8.46,8.370000000000001,9.76,7.22,2012-04-01
2012,2,Nürnberg,89.55291748046875,7.59,7.41,8.33,6.5600000000000005,2012-04-01
2012,2,Potsdam,93.37456512451172,7.95,8.0,8.99,6.99,2012-04-01
2012,2,Rhein-Erft-Kreis,93.29041290283203,6.99,6.91,7.86,6.0600000000000005,2012-04-01
2012,2,Stuttgart,90.00166320800781,9.59,9.26,10.64,8.42,2012-04-01
2012,2,Wiesbaden,92.75218200683594,8.620000000000001,8.38,9.41,7.640000000000001,2012-04-01
2012,2,Wuppertal,97.09537506103516,5.61,5.46,6.0,5.0,2012-04-01
2012,2,Aachen,93.5469970703125,7.63,7.51,8.93,6.38,2012-04-01
2012,2,Augsburg,84.53156280517578,7.0600000000000005,7.0,8.0,6.3,2012-04-01
2012,2,Berlin,85.5238037109375,7.47,7.01,8.51,6.05,2012-04-01
2012,2,Bielefeld,92.7499008178711,5.92,5.71,6.67,5.01,2012-04-01
2012,2,Bocholt,92.81288146972656,5.71,5.42,6.0,5.13,2012-04-01
2012,2,Bochum,94.76585388183594,5.65,5.5,6.05,5.07,2012-04-01
2012,2,Bonn,94.5452880859375,8.4,8.24,9.43,7.3100000000000005,2012-04-01
2012,2,Braunschweig,84.15428924560547,6.28,6.01,7.3,5.3,2012-04-01
2012,2,Bremen,90.09563446044922,6.66,6.2,7.65,5.39,2012-04-01
2012,2,Chemnitz,95.85794067382812,4.83,4.9,5.25,4.37,2012-04-01
2012,2,Dortmund,91.58061218261719,5.62,5.41,6.12,4.86,2012-04-01
2012,2,Dresden,88.4488754272461,6.15,6.03,6.6000000000000005,5.5200000000000005,2012-04-01
2012,2,Duisburg,94.60590362548828,5.2,5.04,5.5,4.67,2012-04-01
2012,2,Düsseldorf,95.0191879272461,9.02,8.76,10.0,7.54,2012-04-01
2012,2,Erfurt,90.67749786376953,6.12,6.01,6.88,5.22,2012-04-01
2012,2,Essen,94.10697937011719,5.78,5.64,6.29,5.14,2012-04-01
2012,2,Frankfurt am Main,93.4499740600586,11.06,10.89,12.620000000000001,9.27,2012-04-01
2012,2,Greix,90.99140930175781,8.77,8.540000000000001,10.19,7.15,2012-04-01
