city,year,affordability_ratio
Bonn,2011,0.14727725123192084
Bonn,2012,0.14827921472190317
Bonn,2013,0.12739057891618438
Bonn,2014,0.14205424575602027
Bonn,2015,0.1420629543110514
Bonn,2016,0.141282463355558
Bonn,2017,0.15219543636011976
Bonn,2018,0.16241749767084787
Bonn,2019,0.17476119967115647
Bonn,2020,0.17067759450195488
Bonn,2021,0.1818185967774129
Bonn,2022,0.1868871944451611
Bonn,2023,0.16797634234562694
Bonn,2024,0.15950638182051324
Chemnitz,1993,0.2736244804884966
Chemnitz,1994,0.30719702929573817
Chemnitz,1995,0.33160876793161814
Chemnitz,1996,0.29552599221898684
Chemnitz,1997,0.2824324634997315
Chemnitz,1998,0.2505430211653814
Chemnitz,1999,0.22469997961671095
Chemnitz,2000,0.24206100124113306
Chemnitz,2001,0.23125291788377833
Chemnitz,2002,0.21108115124779253
Chemnitz,2003,0.19443464735336216
Chemnitz,2004,0.17318296776582137
Chemnitz,2005,0.17139604665698077
Chemnitz,2006,0.1911594177103634
Chemnitz,2007,0.19189605696891113
Chemnitz,2008,0.1757072994401239
Chemnitz,2009,0.16202220730457978
Chemnitz,2010,0.1367623274457128
Chemnitz,2011,0.1330071295027441
Chemnitz,2012,0.11891317890302508
Chemnitz,2013,0.12323896283955546
Chemnitz,2014,0.102531984673442
Chemnitz,2015,0.08893227990003715
Chemnitz,2016,0.0872463109570351
Chemnitz,2017,0.10292172079397098
Chemnitz,2018,0.10073267777404613
Chemnitz,2019,0.10902602610954747
Chemnitz,2020,0.10312541869784257
Chemnitz,2021,0.12256352094128392
Chemnitz,2022,0.11673652247759762
Chemnitz,2023,0.12106658165427465
Chemnitz,2024,0.11314795932727201
Chemnitz,1993,0.3420306006106206
Chemnitz,1994,0.3839962866196726
Chemnitz,1995,0.41451095991452264
Chemnitz,1996,0.3694074902737336
Chemnitz,1997,0.3530405793746644
Chemnitz,1998,0.3131787764567267
Chemnitz,1999,0.2808749745208886
Chemnitz,2000,0.30257625155141626
Chemnitz,2001,0.28906614735472297
Chemnitz,2002,0.2638514390597407
Chemnitz,2003,0.2430433091917027
Chemnitz,2004,0.21647870970727667
Chemnitz,2005,0.21424505832122587
Chemnitz,2006,0.23894927213795422
Chemnitz,2007,0.23987007121113893
Chemnitz,2008,0.2196341243001549
Chemnitz,2009,0.20252775913072474
